City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
44,Sinnamary,GF,78.96,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
50,Sampit,ID,75.33,light rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
53,Malacacheta,BR,72.12,moderate rain,-17.84,-42.08,Pousada Varanda do Sol
70,Butaritari,KI,84.88,moderate rain,3.07,172.79,Isles Sunset Lodge
88,Piet Retief,ZA,52.56,light rain,-27.01,30.81,Arabian Nite Guest House
103,Pithora,IN,67.73,light rain,21.27,82.52,"Government Scheduled Caste Boys Hostel, Pithora"
126,Nacala,MZ,76.6,light rain,-14.54,40.67,Nacala Plaza Business Design Hotel
147,Menongue,AO,63.45,moderate rain,-14.66,17.69,Ritz Lauca
158,Nabire,ID,72.88,heavy intensity rain,-3.37,135.48,Hotel Nusantara Nabire
161,Oussouye,SN,80.6,light rain,12.48,-16.55,Auberge du Routard
165,Buala,SB,81.45,light rain,-8.14,159.59,Maringe Lagoon Lodge
191,San Jeronimo,PE,55.26,moderate rain,-11.95,-75.28,Tuki Llajta Pueblo Bonito Eco Lodge
209,Rio Verde De Mato Grosso,BR,75.07,moderate rain,-18.92,-54.84,Hotel Valência
211,Grootfontein,,66.25,light rain,-19.57,18.12,Meteor Travel Inn
218,Ndola,ZM,66.6,light rain,-12.96,28.64,Chabanga Lodge iSpot
223,Dunda,TZ,68.07,light rain,-8.12,34.25,
246,Pangoa,PE,70.92,light rain,-12.12,-73.0,
247,Ghanzi,BW,68.23,light rain,-21.57,21.78,Ghanzi Farmhouse
250,Jatai,BR,77.05,moderate rain,-17.88,-51.71,La Vitre Hotel
263,Kaoma,ZM,69.3,light rain,-14.78,24.8,KAOMA AIRPORT
274,Kieta,PG,81.63,light rain,-6.22,155.63,
276,Merauke,ID,75.51,light rain,-8.47,140.33,
281,Dingle,PH,72.07,light rain,11.0,122.67,Camp Pasica
283,Vanimo,PG,82.13,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
288,Angoche,MZ,77.65,light rain,-16.23,39.91,Guest House HESADA
290,Kalabo,ZM,69.55,heavy intensity rain,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
306,Mahanoro,MG,78.44,moderate rain,-19.9,48.8,Hôtel Mon Désir
315,Yanahuanca,PE,51.89,light rain,-10.52,-76.5,"Hostal ""El Meson"""
319,Almeirim,BR,82.09,light rain,-1.52,-52.58,Ricácio Hotel
321,Letlhakane,BW,69.3,light rain,-21.42,25.58,Motswedi Hotel P770 3 Star
324,Kimbe,PG,76.82,light rain,-5.55,150.14,Kimbe Bay Hotel
330,Kudahuvadhoo,MV,82.76,light rain,2.67,72.89,Kudahuvadhoo Retreat
335,Ismailia,EG,56.61,light rain,30.6,32.27,Mercure Ismailia Forsan Island Hotel
342,Tabuk,PH,67.71,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
361,Amapa,BR,77.05,moderate rain,1.0,-52.0,
369,Mount Isa,AU,78.8,light rain,-20.73,139.5,ibis Styles Mt Isa Verona
387,Baracoa,CU,75.51,light rain,20.35,-74.5,Hostal Rio Miel
409,Gigmoto,PH,79.77,light rain,13.78,124.39,Cj's Travellers Inn
413,Kupang,ID,83.7,moderate rain,-10.17,123.58,Sylvia Hotel Premier Kupang
429,Batticaloa,LK,72.66,light rain,7.71,81.69,Treatooo City Hotel Batticaloa
442,Bull Savanna,JM,71.53,light rain,17.89,-77.59,Big Red's
443,Ambon,ID,80.82,light rain,-3.7,128.18,Swiss-Belhotel Ambon
444,Bukene,TZ,68.63,light rain,-4.23,32.88,
456,Ambatofinandrahana,MG,62.6,light rain,-20.55,46.8,TATAMO
460,Richards Bay,ZA,74.25,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
483,Alofi,NU,80.76,light rain,-19.06,-169.92,
489,Sao Felix Do Xingu,BR,78.17,moderate rain,-6.64,-51.99,Apart Hotel Rio Xingu
493,Sambava,MG,73.98,light rain,-14.27,50.17,Melrose
498,Jales,BR,77.18,light rain,-20.27,-50.55,Geraldelli Center Hotel
517,Puerto Leguizamo,CO,77.4,light rain,-0.19,-74.78,la casona de juancho
546,San Policarpo,PH,78.6,light rain,12.18,125.51,
547,Mitsamiouli,KM,84.56,light rain,-11.38,43.28,Foyer ADM
552,Kwinana,AU,72.0,light rain,-32.25,115.77,Rockingham Apartments
554,Antalaha,MG,79.32,moderate rain,-14.9,50.28,Hotel Vitasoa
571,Kamina,CD,67.01,light rain,-8.74,24.99,
